,names
701,Entoloma papillatum
702,Entoloma porphyrophaeum
703,Entoloma prunuloides
704,Entoloma rhodopolium
705,Entoloma sarcopum
706,Entoloma sepium
707,Entoloma sericellum
708,Entoloma sericeum
709,Entoloma serrulatum
710,Entoloma sinuatum
711,Entoloma tjallingiorum
712,Entoloma vernum
713,Exidia glandulosa
714,Exidia pithya
715,Exidia plana
716,Exidia recisa
717,Exidia saccharina
718,Exidia thuretiana
719,Exidia truncata
720,Fistulina hepatica
721,Flammulaster carpophilus
722,Flammulaster ferrugineus
723,Flammulaster limulatus
724,Flammulina velutipes
725,Fomes fomentarius
726,Fomitopsis betulina
727,Fomitopsis officinalis
728,Fomitopsis pinicola
729,Fuligo cinerea
730,Fuligo septica
731,Fuscoporia contigua
732,Galerina  atkinsoniana
733,Galerina clavata
734,Galerina marginata
735,Galerina paludosa
736,Galerina perplexa
737,Galerina sp
738,Galerina sphagnum
739,Galerina terrestris
740,Ganoderma applanatum
741,Ganoderma australe
742,Ganoderma carnosum
743,Ganoderma lipsiense
744,Ganoderma lucidum
745,Ganoderma pfeifferi
746,Ganoderma resinaceum
747,Gautieria graveolens
748,Geastrum campestre
749,Geastrum coronatum
750,Geastrum floriforme
751,Geastrum fornicatum
752,Geastrum melanocephalum 
753,Geastrum minimum
754,Geastrum nanum
755,Geastrum pectinatum
756,Geastrum pseudostriatum
757,Geastrum quadrifidum
758,Geastrum rufescens
759,Geastrum saccatum
760,Geastrum sessile
761,Geastrum striatum
762,Geastrum triplex
763,Genea clausa
764,Genea fragans
765,Genea papillosa
766,Genea verrucosa
767,Geoglossum barlae
768,Geoglossum fallax
769,Geoglossum glabrum
770,Geoglossum glutinosum
771,Geopora arenicola
772,Geopora arenosa
773,Geopora sumneriana
774,Geopyxis carbonaria
775,Geopyxis majalis
776,Gliophorus irrigatas
777,Gliophorus psittacinus
778,Gliophorus reginae
779,Gloeophyllum sepiarium
780,Gloeoporus dichrous
781,Glomus macrocarpum
782,Glutinoglossum glutinosum
783,Gomphidius glutinosus
784,Gomphidius gracilis
785,Gomphidius maculatus
786,Gomphidius roseus
787,Gomphus clavatus
788,Grandinia quercina
789,Greletia planchonis
790,Grifola frondosa
791,Guepinia helvelloides
792,Guepiniopsis buccina
793,Gymnomyces sublevisporus
794,Gymnopilus arenophilus
795,Gymnopilus hybridus
796,Gymnopilus junonius
797,Gymnopilus penetrans
798,Gymnopilus sapineus
799,Gymnopilus sp
800,Gymnopilus spectabilis
801,Gymnopilus suberis
802,Gymnopus androsaceus
803,Gymnopus aquosus
804,Gymnopus brassicolens
805,Gymnopus confluens
806,Gymnopus dryophilus
807,Gymnopus fusipes
808,Gymnopus peronatus
809,Gymnopus vernus
810,Gymnosporangium clavariaeforme
811,Gymnosporangium juniperi-virginianae
812,Gymnosporangium sabinae
813,Gyrodon lividus
814,Gyromitra
815,Gyromitra esculenta
816,Gyromitra gigas
817,Gyromitra infula
818,Gyromitra perlata
819,Gyromitra sp
820,Gyrophragmium dunaii
821,Gyroporus castaneus
822,Gyroporus castaneus  
823,Gyroporus cyanescens
824,Hapalopilus nidulans
825,Hapalopilus rutilans
826,Hebeloma anthracophilum
827,Hebeloma birrus
828,Hebeloma cistophilum
829,Hebeloma crustuliniforme
830,Hebeloma cylindrosporum
831,Hebeloma edurum
832,Hebeloma favrei
833,Hebeloma hiemale
834,Hebeloma leucosarx
835,Hebeloma longicaudum
836,Hebeloma mesophaeum
837,Hebeloma radicosum
838,Hebeloma sacchariolens
839,Hebeloma sarcophyllum
840,Hebeloma sinapizans
841,Helvella acetabulum
842,Helvella atra
843,Helvella capuliformis
844,Helvella costifera
845,Helvella crispa
846,Helvella dissingii
847,Helvella dryophila
848,Helvella elastica
849,Helvella ephippium
850,Helvella fusca
851,Helvella helvellula
852,Helvella juniperi
853,Helvella lactea
854,Helvella lacunosa
855,Helvella leucomelaena
856,Helvella leucopus
857,Helvella macropus
858,Helvella pezizoides
859,Helvella pithyophila
